# mask_cen mask_weight
6.512544999243789334e+02 9.925632593265121262e-01
6.512663999243759463e+02 9.915591443530350491e-01
6.512956999243685914e+02 9.939583134819398591e-01
6.513261999243609353e+02 9.882615532865867136e-01
6.513655999243510450e+02 9.939776352104372492e-01
6.513956999243434893e+02 9.932493225243845814e-01
6.514200999243373644e+02 9.938493688785632330e-01
6.514971999243180107e+02 9.938511686840342252e-01
6.515470999243054848e+02 9.932749175814770126e-01
6.516305999242845246e+02 9.938418286368425614e-01
6.517081999242650454e+02 9.938315208340968709e-01
6.517456999242556321e+02 9.925591438483849505e-01
6.517674999242501599e+02 9.938744585517925723e-01
6.517991999242422025e+02 9.934475698075875272e-01
6.518296999242345464e+02 9.864780925089525754e-01
6.518402999242318856e+02 9.926019012002780251e-01
6.518513999242290993e+02 9.928313870951854803e-01
6.518724999242238027e+02 9.933902608756406405e-01
6.519080999242148664e+02 9.939472569693048598e-01
6.519273999242100217e+02 9.924182332910855830e-01
6.519479999242048507e+02 9.937285296376642263e-01
6.519730999241985501e+02 9.879361872092302654e-01
6.519980999241922746e+02 9.931689725106785938e-01
6.520268999241850452e+02 9.899158145926890695e-01
6.520509999241789956e+02 9.939299599585732503e-01
6.520763999241726196e+02 9.931486554650105214e-01
6.520893999241693564e+02 9.936865591985797330e-01
6.520977999241672478e+02 9.916634825462089520e-01
6.521467999241549478e+02 9.929669033475652107e-01
6.521966999241424219e+02 9.937798965490821645e-01
6.522158999241376023e+02 9.900287293842325864e-01
6.522428999241308247e+02 9.933323754120368942e-01
6.522838999241205329e+02 9.930626763996431849e-01
6.523460999241049194e+02 9.937549430622429902e-01
6.523607999241012294e+02 9.930983105174309156e-01
6.523792999240965855e+02 9.933499614857684845e-01
6.524236999240854402e+02 9.934429678648987183e-01
6.524543999240777339e+02 9.935676230443614143e-01
6.524982999240667141e+02 9.937934691415936106e-01
6.525290999240589827e+02 9.932499162201637866e-01
6.525821999240456535e+02 9.921542208807341279e-01
6.526119999240381730e+02 9.929720369214689590e-01
6.526313999240333033e+02 9.931892297672026970e-01
6.526532999240278059e+02 9.937245753324395192e-01
6.527072999240142508e+02 9.937111905088160668e-01
6.527238999240100839e+02 9.889360584055701953e-01
6.527849999239947465e+02 9.930786183856147309e-01
6.528112999239881447e+02 9.936610143750630453e-01
6.528390999239811663e+02 9.928820479827493717e-01
6.528669999239741628e+02 9.930365975172433801e-01
6.528938999239674104e+02 9.932175275048027441e-01
6.529099999239633689e+02 9.775285335572411194e-01
6.529368999239566165e+02 9.929168540567010481e-01
6.529510999239530520e+02 9.932244530367231317e-01
6.529729999239475546e+02 9.935529032486406509e-01
6.529820999239452703e+02 9.927793756686982274e-01
6.529987999239410783e+02 9.927653924793476969e-01
6.530386999239310626e+02 9.931425886033009576e-01
6.530675999239238081e+02 9.905099272704689373e-01
6.530916999239177585e+02 9.898217951583303531e-01
6.531033999239148216e+02 9.933718173638612647e-01
6.531294999239082699e+02 9.932333570807359013e-01
6.531371999239063371e+02 9.935169875503950809e-01
6.531940999238920540e+02 9.895370507637324398e-01
6.532058999238890920e+02 9.920045650644664370e-01
6.532227999238848497e+02 9.934253624139565142e-01
6.532332999238822140e+02 9.913057050901399325e-01
6.532506999238778462e+02 9.923622837004694164e-01
6.532576999238760891e+02 9.776104782557490935e-01
6.532741999238719472e+02 9.926826129990765635e-01
6.532887999238682823e+02 9.857871077509342550e-01
6.533050999238641907e+02 9.935171165491227807e-01
6.533199999238604505e+02 9.931264677417758202e-01
6.533881999238433309e+02 9.911355430138865108e-01
6.534193999238354991e+02 9.933073070018234585e-01
6.534326999238321605e+02 9.915986689239798535e-01
6.534463999238287215e+02 9.926869550742138948e-01
6.534757999238213415e+02 9.935076284052056783e-01
6.534978999238157940e+02 9.931864985496283715e-01
6.535223999238096440e+02 9.931026791745440896e-01
6.535345999238065815e+02 9.894208015607245388e-01
6.535478999238032429e+02 9.859599661203223286e-01
6.535968999237909429e+02 9.924505092153730335e-01
6.536049999237889097e+02 9.802185852750272543e-01
6.536288999237829103e+02 9.931306094008028884e-01
6.536496999237776890e+02 9.934173035664352058e-01
6.536622999237745262e+02 9.913726757416078117e-01
6.536712999237722670e+02 9.927273948563014594e-01
